tree_id,point_count,crown_x,crown_y,height_max_m,height_mean_m,height_std_m,height_p25_m,height_p50_m,height_p75_m,height_p90_m,height_p95_m,cv_height,crown_radius_m,crown_r95_m,crown_area_m2,canopy_pts,density_pt_m2,tile,tile_tree_id
73,5520,188131.0675,480005.2118,20.942,13.38,3.981,10.698,13.239,16.576,18.717,19.576,0.2975,4.903,8.487,226.306,1277,24.3917,1,73
74,3307,188141.2725,480002.6529,17.705,11.578,2.587,10.306,12.011,13.156,14.441,15.009,0.2234,4.812,9.018,255.483,416,12.9441,1,74
75,1329,188488.5051,480002.3588,17.335,11.753,3.508,9.612,12.452,14.242,15.87,16.403,0.2985,3.092,5.097,81.627,404,16.2814,1,75
76,2639,188682.251,480004.1607,20.761,15.28,3.56,13.664,16.137,17.888,19.061,19.437,0.233,5.118,9.188,265.236,1161,9.9496,1,76
77,4305,188149.2622,480001.7422,22.595,13.839,3.723,11.632,13.399,15.977,19.049,20.229,0.269,4.442,8.434,223.457,655,19.2655,1,77
78,538,188695.669,480003.7026,17.515,13.658,3.613,12.454,15.11,16.06,16.766,16.975,0.2645,1.911,3.329,34.814,330,15.4534,1,78
79,3827,188521.6721,480005.0906,17.709,11.761,3.534,9.434,12.696,14.552,15.716,16.261,0.3005,6.253,12.9,522.8,1130,7.3202,1,79
80,1576,188576.7329,480002.6917,18.812,13.771,4.268,10.502,15.521,17.067,17.774,18.02,0.3099,3.574,5.988,112.633,880,13.9923,1,80
81,3948,188338.1824,480002.8665,15.236,9.412,3.177,6.974,9.614,12.033,13.553,14.359,0.3376,5.144,9.02,255.577,916,15.4474,1,81
82,3420,188362.1661,480003.4623,15.566,9.646,3.222,7.45,10.218,12.169,13.621,14.097,0.334,6.271,11.758,434.312,720,7.8745,1,82
83,3860,188462.6105,480002.8826,17.883,11.328,3.855,8.523,12.377,14.233,15.529,16.474,0.3403,4.769,7.962,199.137,939,19.3836,1,83
